Rank,Username,Categories,Subscribers,Country,Visits,Likes,Comments
1,tseries,Entertainment,249500000,IN,86200,2700,78
2,MrBeast,Entertainment,183500000,US,117400000,5300000,18500
3,CoComelon,Music,165500000,US,7000000,24700,0
4,SETIndia,Entertainment,162600000,IN,15600,166,9
5,KidsDianaShow,Hobby,113500000,US,3900000,12400,0
6,PewDiePie,Action_game,111500000,JP,2400000,197300,4900
7,LikeNastyaofficial,Lifestyle_(sociology),107500000,US,2600000,28000,0
8,VladandNiki,Hobby,101400000,US,4100000,22100,0
9,zeemusiccompany,Music_of_Asia,99700000,IN,74300,2600,32
10,WWE,Entertainment,97200000,US,184500,6300,214
